following_url,events_url,organizations_url,url,contributions,gists_url,html_url,subscriptions_url,avatar_url,repos_url,received_events_url,gravatar_id,starred_url,site_admin,login,type,id,followers_url
https://api.github.com/users/muralisrini/following{/other_user},https://api.github.com/users/muralisrini/events{/privacy},https://api.github.com/users/muralisrini/orgs,https://api.github.com/users/muralisrini,275,https://api.github.com/users/muralisrini/gists{/gist_id},https://github.com/muralisrini,https://api.github.com/users/muralisrini/subscriptions,https://avatars2.githubusercontent.com/u/14361488?v=3,https://api.github.com/users/muralisrini/repos,https://api.github.com/users/muralisrini/received_events,,https://api.github.com/users/muralisrini/starred{/owner}{/repo},False,muralisrini,User,14361488,https://api.github.com/users/muralisrini/followers
https://api.github.com/users/jyellick/following{/other_user},https://api.github.com/users/jyellick/events{/privacy},https://api.github.com/users/jyellick/orgs,https://api.github.com/users/jyellick,275,https://api.github.com/users/jyellick/gists{/gist_id},https://github.com/jyellick,https://api.github.com/users/jyellick/subscriptions,https://avatars0.githubusercontent.com/u/7431583?v=3,https://api.github.com/users/jyellick/repos,https://api.github.com/users/jyellick/received_events,,https://api.github.com/users/jyellick/starred{/owner}{/repo},False,jyellick,User,7431583,https://api.github.com/users/jyellick/followers
https://api.github.com/users/christo4ferris/following{/other_user},https://api.github.com/users/christo4ferris/events{/privacy},https://api.github.com/users/christo4ferris/orgs,https://api.github.com/users/christo4ferris,264,https://api.github.com/users/christo4ferris/gists{/gist_id},https://github.com/christo4ferris,https://api.github.com/users/christo4ferris/subscriptions,https://avatars1.githubusercontent.com/u/3630697?v=3,https://api.github.com/users/christo4ferris/repos,https://api.github.com/users/christo4ferris/received_events,,https://api.github.com/users/christo4ferris/starred{/owner}{/repo},False,christo4ferris,User,3630697,https://api.github.com/users/christo4ferris/followers
https://api.github.com/users/yacovm/following{/other_user},https://api.github.com/users/yacovm/events{/privacy},https://api.github.com/users/yacovm/orgs,https://api.github.com/users/yacovm,219,https://api.github.com/users/yacovm/gists{/gist_id},https://github.com/yacovm,https://api.github.com/users/yacovm/subscriptions,https://avatars3.githubusercontent.com/u/7521849?v=3,https://api.github.com/users/yacovm/repos,https://api.github.com/users/yacovm/received_events,,https://api.github.com/users/yacovm/starred{/owner}{/repo},False,yacovm,User,7521849,https://api.github.com/users/yacovm/followers
https://api.github.com/users/mastersingh24/following{/other_user},https://api.github.com/users/mastersingh24/events{/privacy},https://api.github.com/users/mastersingh24/orgs,https://api.github.com/users/mastersingh24,203,https://api.github.com/users/mastersingh24/gists{/gist_id},https://github.com/mastersingh24,https://api.github.com/users/mastersingh24/subscriptions,https://avatars3.githubusercontent.com/u/5595790?v=3,https://api.github.com/users/mastersingh24/repos,https://api.github.com/users/mastersingh24/received_events,,https://api.github.com/users/mastersingh24/starred{/owner}{/repo},False,mastersingh24,User,5595790,https://api.github.com/users/mastersingh24/followers
https://api.github.com/users/binhn/following{/other_user},https://api.github.com/users/binhn/events{/privacy},https://api.github.com/users/binhn/orgs,https://api.github.com/users/binhn,161,https://api.github.com/users/binhn/gists{/gist_id},https://github.com/binhn,https://api.github.com/users/binhn/subscriptions,https://avatars0.githubusercontent.com/u/3342057?v=3,https://api.github.com/users/binhn/repos,https://api.github.com/users/binhn/received_events,,https://api.github.com/users/binhn/starred{/owner}{/repo},False,binhn,User,3342057,https://api.github.com/users/binhn/followers
https://api.github.com/users/JonathanLevi/following{/other_user},https://api.github.com/users/JonathanLevi/events{/privacy},https://api.github.com/users/JonathanLevi/orgs,https://api.github.com/users/JonathanLevi,150,https://api.github.com/users/JonathanLevi/gists{/gist_id},https://github.com/JonathanLevi,https://api.github.com/users/JonathanLevi/subscriptions,https://avatars0.githubusercontent.com/u/1161321?v=3,https://api.github.com/users/JonathanLevi/repos,https://api.github.com/users/JonathanLevi/received_events,,https://api.github.com/users/JonathanLevi/starred{/owner}{/repo},False,JonathanLevi,User,1161321,https://api.github.com/users/JonathanLevi/followers
https://api.github.com/users/ghaskins/following{/other_user},https://api.github.com/users/ghaskins/events{/privacy},https://api.github.com/users/ghaskins/orgs,https://api.github.com/users/ghaskins,123,https://api.github.com/users/ghaskins/gists{/gist_id},https://github.com/ghaskins,https://api.github.com/users/ghaskins/subscriptions,https://avatars2.githubusercontent.com/u/367132?v=3,https://api.github.com/users/ghaskins/repos,https://api.github.com/users/ghaskins/received_events,,https://api.github.com/users/ghaskins/starred{/owner}{/repo},False,ghaskins,User,367132,https://api.github.com/users/ghaskins/followers
https://api.github.com/users/gabre/following{/other_user},https://api.github.com/users/gabre/events{/privacy},https://api.github.com/users/gabre/orgs,https://api.github.com/users/gabre,82,https://api.github.com/users/gabre/gists{/gist_id},https://github.com/gabre,https://api.github.com/users/gabre/subscriptions,https://avatars3.githubusercontent.com/u/5565153?v=3,https://api.github.com/users/gabre/repos,https://api.github.com/users/gabre/received_events,,https://api.github.com/users/gabre/starred{/owner}{/repo},False,gabre,User,5565153,https://api.github.com/users/gabre/followers
https://api.github.com/users/kchristidis/following{/other_user},https://api.github.com/users/kchristidis/events{/privacy},https://api.github.com/users/kchristidis/orgs,https://api.github.com/users/kchristidis,75,https://api.github.com/users/kchristidis/gists{/gist_id},https://github.com/kchristidis,https://api.github.com/users/kchristidis/subscriptions,https://avatars0.githubusercontent.com/u/14876848?v=3,https://api.github.com/users/kchristidis/repos,https://api.github.com/users/kchristidis/received_events,,https://api.github.com/users/kchristidis/starred{/owner}{/repo},False,kchristidis,User,14876848,https://api.github.com/users/kchristidis/followers
https://api.github.com/users/C0rWin/following{/other_user},https://api.github.com/users/C0rWin/events{/privacy},https://api.github.com/users/C0rWin/orgs,https://api.github.com/users/C0rWin,60,https://api.github.com/users/C0rWin/gists{/gist_id},https://github.com/C0rWin,https://api.github.com/users/C0rWin/subscriptions,https://avatars3.githubusercontent.com/u/3093578?v=3,https://api.github.com/users/C0rWin/repos,https://api.github.com/users/C0rWin/received_events,,https://api.github.com/users/C0rWin/starred{/owner}{/repo},False,C0rWin,User,3093578,https://api.github.com/users/C0rWin/followers
https://api.github.com/users/denyeart/following{/other_user},https://api.github.com/users/denyeart/events{/privacy},https://api.github.com/users/denyeart/orgs,https://api.github.com/users/denyeart,43,https://api.github.com/users/denyeart/gists{/gist_id},https://github.com/denyeart,https://api.github.com/users/denyeart/subscriptions,https://avatars3.githubusercontent.com/u/20165681?v=3,https://api.github.com/users/denyeart/repos,https://api.github.com/users/denyeart/received_events,,https://api.github.com/users/denyeart/starred{/owner}{/repo},False,denyeart,User,20165681,https://api.github.com/users/denyeart/followers
